"Comment","Designator","Footprint","LCSC Part #"
"100nF","C1,C3,C5,C4,C10,C6","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"10uF","C2","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C15850"
"10nF","C7","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1710"
"1nF","C8,C9","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C46653"
"Polyfuse_Small","F1","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C369154"
"47k","R2,R6","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17713"
"10k","R3,R4","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"22k","R5","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17560"
"100k","R7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17407"
"10K","R8,R10,R11,R16","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"1K","R9,R18,R20,R22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17513"
"2.2K","R12,R13,R14,R15,R1","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17520"
"220","R17","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17557"
"470","R19","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17710"
"1500","R21","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C4310"
"AMS1117-5.0","U1","SOT-223-3_TabPin2","C6187"
"ADuM1201AR","U3","SOIC-8_3.9x4.9mm_P1.27mm","C9669"
"ULN2803A","U5","SOIC-18W_7.5x11.6mm_P1.27mm","C9683"
